acteur,ligne,sentiment
Rachel,Come on Joey!!!,0.0
Joey,"Rach, I told you everything I knew last night! Look, it's not that big of a deal, so Monica and Chandler are doing it.",0.0
Rachel,I can't believe you would say that!,0.0
Joey,Sorry. Monica and Chandler are making love.,0.5994
Rachel,"No! I mean come on! This is a huge deal!  Fine I want—I need more details, who-who initiated the first kiss?",0.6784
Joey,I don't know.,0.0
Rachel,Is he romantic with her?,0.4019
Joey,I don't know.,0.0
Rachel,Are they in love?,0.6369
Joey,I don't know.,0.0
Rachel,You don't know anything.,0.0
Joey,"Ohh, I know one thing!",0.0
Rachel,What?,0.0
Joey,They did it right there on the couch.,0.0
Joey,Hey Ross!,0.0
Phoebe,Hey!,0.0
Ross,"Hey-yeah.  Hey Gunther, can I have a scone please?  Wanna hear some good news? Someone I know is getting married! Yeah! And weddings are happy occasions! Oh, by-the-by it's my ex-wife Emily!",0.9123
All,What? Oh!,0.0
Chandler,Sorry man.,-0.0772
Gunther,Here's your scone.,0.0
Ross,"Oh, thanks Gunther.  STUPID BRITISH SNACK FOOD!!!!!!!",-0.5269
Chandler,Did they teach you that in your anger management class?,-0.5719
Phoebe,"Hey, you know what might help you deal with it? Think of it this way, you and Emily are in the past and you can't be mad about the past. So are you still mad about the Louisiana Purchase?",0.8082
Rachel,"Pheebs, I don’t think anyone's mad about that.",-0.4939
Phoebe,Exactly! Because it's in the past!,0.0
Joey,Anybody gonna eat that?,0.0
Monica,"Look at us all dressed up for the big office party! By the way, what are we celebrating?",0.7712
Chandler,"Oh, we had a lot of liquor left over from the Christmas party.",0.4019
Monica,I think this is so cool because none of our friends are here and we can be a real couple. We don't have to hide.,0.2395
Chandler,"I know, I can do this.",0.0
Monica,"Ooh, and I can do this.",0.0
Both,We can't do that.,0.0
Doug,"Hey Bing!   Wo-ho-ho, who's the pretty lady and what the hell is she doing with you?",-0.4003
Chandler,"I asked myself that very question, sir. Uh,  this is Monica.  This is my boss, Doug. Doug this is Monica.",0.0
Monica,"Hi, nice to meet you!",0.4753
Doug,Hi! And this is my wife Kara.,0.0
Kara,Nice to meet you Monica. Bing!,0.4753
Doug,"Say uh, Bing, did you hear about the new law firm we got working for us?",0.0
Chandler,"No, sir.",-0.296
Doug,"Yeah, Dewey, Cheatum, and Howe.",0.296
Doug,"Come on honey, let's go drink our body weight.",0.0
Monica,What was that?,0.0
Chandler,What?,0.0
Monica,That noise you just made?,0.0
Chandler,"Oh, that was my work laugh.",0.5574
Monica,Really? Your work laugh?,0.6397
